benchmark,Equal (NoOpt),Less precise (NoOpt),More precise (NoOpt),Equal (CI),Less precise (CI),More precise (CI),Equal (DI),Less precise (DI),More precise (DI),Equal (WI),Less precise (WI),More precise (WI),Equal (CI-DI),Less precise (CI-DI),More precise (CI-DI),Equal (CI-WI),Less precise (CI-WI),More precise (CI-WI),Equal (DI-WI),Less precise (DI-WI),More precise (DI-WI),Equal (CI-DI-WI),Less precise (CI-DI-WI),More precise (CI-DI-WI)
test/changes/scheme/baseline.scm,11 (100.00%),0 (0.00%),0 (0.00%),11 (100.00%),0 (0.00%),0 (0.00%),11 (100.00%),0 (0.00%),0 (0.00%),10 (90.91%),0 (0.00%),1 (9.09%),11 (100.00%),0 (0.00%),0 (0.00%),10 (90.91%),0 (0.00%),1 (9.09%),10 (90.91%),0 (0.00%),1 (9.09%),10 (90.91%),0 (0.00%),1 (9.09%)
test/changes/scheme/browse.scm,250 (100.00%),0 (0.00%),0 (0.00%),250 (100.00%),0 (0.00%),0 (0.00%),250 (100.00%),0 (0.00%),0 (0.00%),243 (97.20%),0 (0.00%),7 (2.80%),250 (100.00%),0 (0.00%),0 (0.00%),242 (96.80%),0 (0.00%),8 (3.20%),243 (97.20%),0 (0.00%),7 (2.80%),242 (96.80%),0 (0.00%),8 (3.20%)
test/changes/scheme/collatz.scm,19 (100.00%),0 (0.00%),0 (0.00%),19 (100.00%),0 (0.00%),0 (0.00%),19 (100.00%),0 (0.00%),0 (0.00%),19 (100.00%),0 (0.00%),0 (0.00%),19 (100.00%),0 (0.00%),0 (0.00%),19 (100.00%),0 (0.00%),0 (0.00%),19 (100.00%),0 (0.00%),0 (0.00%),19 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/fact.scm,5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/fib-loop.scm,14 (100.00%),0 (0.00%),0 (0.00%),14 (100.00%),0 (0.00%),0 (0.00%),14 (100.00%),0 (0.00%),0 (0.00%),7 (50.00%),0 (0.00%),7 (50.00%),14 (100.00%),0 (0.00%),0 (0.00%),6 (42.86%),0 (0.00%),8 (57.14%),7 (50.00%),0 (0.00%),7 (50.00%),6 (42.86%),0 (0.00%),8 (57.14%)
test/changes/scheme/fib.scm,5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%),5 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/freeze.scm,527 (100.00%),0 (0.00%),0 (0.00%),527 (100.00%),0 (0.00%),0 (0.00%),527 (100.00%),0 (0.00%),0 (0.00%),518 (98.29%),0 (0.00%),9 (1.71%),527 (100.00%),0 (0.00%),0 (0.00%),518 (98.29%),0 (0.00%),9 (1.71%),518 (98.29%),0 (0.00%),9 (1.71%),518 (98.29%),0 (0.00%),9 (1.71%)
test/changes/scheme/gcipd.scm,13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/leval.scm,597 (100.00%),0 (0.00%),0 (0.00%),594 (99.50%),0 (0.00%),3 (0.50%),597 (100.00%),0 (0.00%),0 (0.00%),570 (95.48%),0 (0.00%),27 (4.52%),594 (99.50%),0 (0.00%),3 (0.50%),570 (95.48%),0 (0.00%),27 (4.52%),570 (95.48%),0 (0.00%),27 (4.52%),570 (95.48%),0 (0.00%),27 (4.52%)
test/changes/scheme/matrix.scm,679 (100.00%),0 (0.00%),0 (0.00%),679 (100.00%),0 (0.00%),0 (0.00%),679 (100.00%),0 (0.00%),0 (0.00%),673 (99.12%),0 (0.00%),6 (0.88%),679 (100.00%),0 (0.00%),0 (0.00%),673 (99.12%),0 (0.00%),6 (0.88%),673 (99.12%),0 (0.00%),6 (0.88%),673 (99.12%),0 (0.00%),6 (0.88%)
test/changes/scheme/mceval-dynamic.scm,392 (100.00%),0 (0.00%),0 (0.00%),392 (100.00%),0 (0.00%),0 (0.00%),392 (100.00%),0 (0.00%),0 (0.00%),383 (97.70%),0 (0.00%),9 (2.30%),392 (100.00%),0 (0.00%),0 (0.00%),383 (97.70%),0 (0.00%),9 (2.30%),383 (97.70%),0 (0.00%),9 (2.30%),383 (97.70%),0 (0.00%),9 (2.30%)
test/changes/scheme/multiple-dwelling (coarse).scm,1076 (100.00%),0 (0.00%),0 (0.00%),1076 (100.00%),0 (0.00%),0 (0.00%),1076 (100.00%),0 (0.00%),0 (0.00%),1068 (99.26%),0 (0.00%),8 (0.74%),1076 (100.00%),0 (0.00%),0 (0.00%),1068 (99.26%),0 (0.00%),8 (0.74%),1068 (99.26%),0 (0.00%),8 (0.74%),1068 (99.26%),0 (0.00%),8 (0.74%)
test/changes/scheme/multiple-dwelling (fine).scm,879 (100.00%),0 (0.00%),0 (0.00%),879 (100.00%),0 (0.00%),0 (0.00%),879 (100.00%),0 (0.00%),0 (0.00%),879 (100.00%),0 (0.00%),0 (0.00%),879 (100.00%),0 (0.00%),0 (0.00%),879 (100.00%),0 (0.00%),0 (0.00%),879 (100.00%),0 (0.00%),0 (0.00%),879 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/nbody-processed.scm,846 (100.00%),0 (0.00%),0 (0.00%),842 (99.53%),0 (0.00%),4 (0.47%),846 (100.00%),0 (0.00%),0 (0.00%),763 (90.19%),0 (0.00%),83 (9.81%),842 (99.53%),0 (0.00%),4 (0.47%),759 (89.72%),0 (0.00%),87 (10.28%),763 (90.19%),0 (0.00%),83 (9.81%),759 (89.72%),0 (0.00%),87 (10.28%)
test/changes/scheme/nboyer.scm,2147 (100.00%),0 (0.00%),0 (0.00%),2147 (100.00%),0 (0.00%),0 (0.00%),2147 (100.00%),0 (0.00%),0 (0.00%),2130 (99.21%),0 (0.00%),17 (0.79%),2147 (100.00%),0 (0.00%),0 (0.00%),2130 (99.21%),0 (0.00%),17 (0.79%),2130 (99.21%),0 (0.00%),17 (0.79%),2130 (99.21%),0 (0.00%),17 (0.79%)
test/changes/scheme/peval.scm,973 (100.00%),0 (0.00%),0 (0.00%),973 (100.00%),0 (0.00%),0 (0.00%),973 (100.00%),0 (0.00%),0 (0.00%),971 (99.79%),0 (0.00%),2 (0.21%),973 (100.00%),0 (0.00%),0 (0.00%),971 (99.79%),0 (0.00%),2 (0.21%),971 (99.79%),0 (0.00%),2 (0.21%),971 (99.79%),0 (0.00%),2 (0.21%)
test/changes/scheme/primtest.scm,56 (100.00%),0 (0.00%),0 (0.00%),56 (100.00%),0 (0.00%),0 (0.00%),56 (100.00%),0 (0.00%),0 (0.00%),45 (80.36%),0 (0.00%),11 (19.64%),56 (100.00%),0 (0.00%),0 (0.00%),45 (80.36%),0 (0.00%),11 (19.64%),45 (80.36%),0 (0.00%),11 (19.64%),45 (80.36%),0 (0.00%),11 (19.64%)
test/changes/scheme/reinforcingcycles/cycleCreation.scm,6 (100.00%),0 (0.00%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/reinforcingcycles/higher-order-paths1.scm,12 (100.00%),0 (0.00%),0 (0.00%),12 (100.00%),0 (0.00%),0 (0.00%),12 (100.00%),0 (0.00%),0 (0.00%),3 (25.00%),0 (0.00%),9 (75.00%),12 (100.00%),0 (0.00%),0 (0.00%),3 (25.00%),0 (0.00%),9 (75.00%),3 (25.00%),0 (0.00%),9 (75.00%),3 (25.00%),0 (0.00%),9 (75.00%)
test/changes/scheme/reinforcingcycles/higher-order-paths2.scm,13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),13 (100.00%),0 (0.00%),0 (0.00%),4 (30.77%),0 (0.00%),9 (69.23%),13 (100.00%),0 (0.00%),0 (0.00%),4 (30.77%),0 (0.00%),9 (69.23%),4 (30.77%),0 (0.00%),9 (69.23%),4 (30.77%),0 (0.00%),9 (69.23%)
test/changes/scheme/reinforcingcycles/implicit-paths.scm,9 (100.00%),0 (0.00%),0 (0.00%),9 (100.00%),0 (0.00%),0 (0.00%),9 (100.00%),0 (0.00%),0 (0.00%),7 (77.78%),0 (0.00%),2 (22.22%),9 (100.00%),0 (0.00%),0 (0.00%),7 (77.78%),0 (0.00%),2 (22.22%),7 (77.78%),0 (0.00%),2 (22.22%),7 (77.78%),0 (0.00%),2 (22.22%)
test/changes/scheme/ring-rotate.scm,67 (100.00%),0 (0.00%),0 (0.00%),67 (100.00%),0 (0.00%),0 (0.00%),67 (100.00%),0 (0.00%),0 (0.00%),64 (95.52%),0 (0.00%),3 (4.48%),67 (100.00%),0 (0.00%),0 (0.00%),64 (95.52%),0 (0.00%),3 (4.48%),64 (95.52%),0 (0.00%),3 (4.48%),64 (95.52%),0 (0.00%),3 (4.48%)
test/changes/scheme/sat.scm,30 (100.00%),0 (0.00%),0 (0.00%),30 (100.00%),0 (0.00%),0 (0.00%),30 (100.00%),0 (0.00%),0 (0.00%),30 (100.00%),0 (0.00%),0 (0.00%),30 (100.00%),0 (0.00%),0 (0.00%),30 (100.00%),0 (0.00%),0 (0.00%),30 (100.00%),0 (0.00%),0 (0.00%),30 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/satCoarse.scm,36 (100.00%),0 (0.00%),0 (0.00%),36 (100.00%),0 (0.00%),0 (0.00%),36 (100.00%),0 (0.00%),0 (0.00%),32 (88.89%),0 (0.00%),4 (11.11%),36 (100.00%),0 (0.00%),0 (0.00%),32 (88.89%),0 (0.00%),4 (11.11%),32 (88.89%),0 (0.00%),4 (11.11%),32 (88.89%),0 (0.00%),4 (11.11%)
test/changes/scheme/satFine.scm,32 (100.00%),0 (0.00%),0 (0.00%),32 (100.00%),0 (0.00%),0 (0.00%),32 (100.00%),0 (0.00%),0 (0.00%),32 (100.00%),0 (0.00%),0 (0.00%),32 (100.00%),0 (0.00%),0 (0.00%),32 (100.00%),0 (0.00%),0 (0.00%),32 (100.00%),0 (0.00%),0 (0.00%),32 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/satMiddle.scm,36 (100.00%),0 (0.00%),0 (0.00%),36 (100.00%),0 (0.00%),0 (0.00%),36 (100.00%),0 (0.00%),0 (0.00%),32 (88.89%),0 (0.00%),4 (11.11%),36 (100.00%),0 (0.00%),0 (0.00%),32 (88.89%),0 (0.00%),4 (11.11%),32 (88.89%),0 (0.00%),4 (11.11%),32 (88.89%),0 (0.00%),4 (11.11%)
test/changes/scheme/satRem.scm,37 (100.00%),0 (0.00%),0 (0.00%),37 (100.00%),0 (0.00%),0 (0.00%),37 (100.00%),0 (0.00%),0 (0.00%),23 (62.16%),0 (0.00%),14 (37.84%),37 (100.00%),0 (0.00%),0 (0.00%),23 (62.16%),0 (0.00%),14 (37.84%),23 (62.16%),0 (0.00%),14 (37.84%),23 (62.16%),0 (0.00%),14 (37.84%)
