benchmark,ms (init),SD (init),intraMS (init),intraSD (init),ms (rean),SD (rean),intraMS (rean),intraSD (rean),ms (NoOpt),SD (NoOpt),intraMS (NoOpt),intraSD (NoOpt),ms (CI),SD (CI),intraMS (CI),intraSD (CI),ms (DI),SD (DI),intraMS (DI),intraSD (DI),ms (WI),SD (WI),intraMS (WI),intraSD (WI),ms (CI-DI),SD (CI-DI),intraMS (CI-DI),intraSD (CI-DI),ms (CI-WI),SD (CI-WI),intraMS (CI-WI),intraSD (CI-WI),ms (DI-WI),SD (DI-WI),intraMS (DI-WI),intraSD (DI-WI),ms (CI-DI-WI),SD (CI-DI-WI),intraMS (CI-DI-WI),intraSD (CI-DI-WI)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-1.scm,3,0,3,0,4,0,3,0,3,0,7,0,3,0,7,0,3,0,8,0,6,0,9,0,3,0,7,0,9,1,12,1,5,0,9,0,9,1,11,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-2.scm,4,0,3,0,3,0,3,0,0,0,5,0,0,0,5,0,0,0,5,0,1,0,5,0,0,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-3.scm,4,0,3,0,3,0,3,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-4.scm,4,0,3,0,1,0,0,0,6,0,10,0,7,1,10,1,7,1,10,1,9,1,12,1,7,1,10,1,10,1,12,1,9,0,12,0,10,1,12,1
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-5.scm,4,0,3,0,5,0,4,0,6,1,10,1,6,0,9,0,6,1,9,1,9,1,12,1,6,0,9,0,9,1,11,1,9,1,12,1,9,0,11,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-1.scm,6,0,6,0,7,0,6,0,3,0,9,0,3,0,9,0,3,0,9,0,8,1,14,0,3,1,10,1,13,0,18,0,8,0,14,0,13,1,18,1
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-2.scm,6,0,6,0,7,0,6,0,2,0,9,0,2,0,9,0,2,0,9,0,2,0,9,0,2,0,9,0,2,0,9,0,2,0,9,0,2,0,9,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-3.scm,6,0,6,0,1,0,1,0,3,0,9,0,1,0,7,0,2,0,9,0,4,0,11,0,1,0,7,0,1,0,7,0,4,0,11,0,1,0,7,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-4.scm,6,0,6,0,6,0,6,0,1,0,8,0,1,0,8,0,1,0,8,0,1,0,8,0,1,0,8,0,1,0,8,0,1,0,8,0,1,0,8,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-5.scm,6,0,6,0,7,0,6,0,3,0,9,0,3,0,9,0,3,0,9,0,9,0,15,0,3,0,9,0,9,0,15,0,8,0,14,0,8,0,14,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-1.scm,2,0,2,0,3,0,2,0,1,0,3,0,1,0,3,0,1,0,3,0,3,0,4,0,1,0,3,0,2,0,3,0,3,0,4,0,2,0,3,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-2.scm,2,0,2,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-3.scm,2,0,2,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-4.scm,2,0,2,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
