benchmark,ms (init),SD (init),intraMS (init),intraSD (init),ms (rean),SD (rean),intraMS (rean),intraSD (rean),ms (NoOpt),SD (NoOpt),intraMS (NoOpt),intraSD (NoOpt),ms (CI),SD (CI),intraMS (CI),intraSD (CI),ms (DI),SD (DI),intraMS (DI),intraSD (DI),ms (WI),SD (WI),intraMS (WI),intraSD (WI),ms (CI-DI),SD (CI-DI),intraMS (CI-DI),intraSD (CI-DI),ms (CI-WI),SD (CI-WI),intraMS (CI-WI),intraSD (CI-WI),ms (DI-WI),SD (DI-WI),intraMS (DI-WI),intraSD (DI-WI),ms (CI-DI-WI),SD (CI-DI-WI),intraMS (CI-DI-WI),intraSD (CI-DI-WI)
test/changes/scheme/baseline.scm,2,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0
test/changes/scheme/browse.scm,159,6,151,6,214,36,204,35,67,0,345,0,67,0,345,0,72,9,350,8,54,3,330,3,72,4,349,4,54,3,330,2,54,6,329,6,53,3,328,2
test/changes/scheme/collatz.scm,2,0,1,0,2,0,2,0,0,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0
test/changes/scheme/fact.scm,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
test/changes/scheme/fib-loop.scm,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
test/changes/scheme/fib.scm,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
test/changes/scheme/freeze.scm,2862,311,2707,291,2344,86,2214,80,939,79,4532,75,816,59,4410,56,910,50,4497,48,1129,36,4668,34,838,42,4426,41,998,30,4539,29,1139,49,4669,46,1026,45,4559,42
test/changes/scheme/gcipd.scm,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
test/changes/scheme/leval.scm,2887,144,2690,136,3686,221,3455,208,1613,52,4655,51,1675,96,4712,93,1673,105,4697,101,2434,142,5261,131,1650,75,4674,72,2609,118,5420,109,2469,142,5275,131,2413,91,5219,84
test/changes/scheme/matrix.scm,299,2,281,2,299,1,281,1,2,0,561,0,2,0,560,0,2,0,561,0,2,0,560,0,2,0,561,0,1,0,560,0,1,0,560,0,1,0,560,0
test/changes/scheme/mceval-dynamic.scm,796,41,734,38,373,20,338,19,190,1,1267,1,205,20,1280,19,204,9,1278,9,222,8,1283,8,200,9,1274,9,228,10,1288,9,232,11,1290,10,227,9,1285,9
test/changes/scheme/multiple-dwelling (coarse).scm,66948,697,64604,685,69475,1002,67086,993,9672,326,85929,315,9687,386,85939,373,9806,328,86007,315,10318,403,86111,378,9746,438,85945,419,10095,395,85894,368,10214,447,85960,417,10327,458,86066,425
test/changes/scheme/multiple-dwelling (fine).scm,66839,593,64502,588,69716,828,67336,821,3662,136,83984,132,3697,153,84019,149,3748,167,84054,162,3845,184,83996,172,3698,155,84004,151,3811,112,83964,105,3869,194,84002,183,3860,159,83992,149
test/changes/scheme/nbody-processed.scm,640,44,599,42,457,22,428,21,142,8,713,8,133,6,701,6,144,9,714,8,167,10,728,9,138,9,704,9,163,9,720,9,160,5,719,5,162,10,719,9
test/changes/scheme/nboyer.scm,2762,99,2605,92,2705,100,2547,95,360,3,4021,3,358,1,4018,1,373,24,4030,22,379,3,4034,3,362,2,4019,2,388,14,4040,11,398,43,4048,41,386,3,4037,3
test/changes/scheme/peval.scm,117326,913,115450,893,107962,499,106104,493,1633,8,229526,8,1625,12,229516,11,1638,35,229530,35,3253,119,230325,93,1654,56,229545,56,3406,358,230434,264,3250,114,230319,89,3270,122,230329,107
test/changes/scheme/primtest.scm,4,0,4,0,4,0,4,0,2,0,6,0,2,0,6,0,2,0,6,0,3,0,6,0,2,0,6,0,5,0,8,0,3,0,6,0,5,0,8,0
test/changes/scheme/reinforcingcycles/cycleCreation.scm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test/changes/scheme/reinforcingcycles/higher-order-paths1.scm,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
test/changes/scheme/reinforcingcycles/higher-order-paths2.scm,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
