benchmark,ms (init),SD (init),intraMS (init),intraSD (init),ms (rean),SD (rean),intraMS (rean),intraSD (rean),ms (NoOpt),SD (NoOpt),intraMS (NoOpt),intraSD (NoOpt),ms (CI),SD (CI),intraMS (CI),intraSD (CI),ms (DI),SD (DI),intraMS (DI),intraSD (DI),ms (WI),SD (WI),intraMS (WI),intraSD (WI),ms (CI-DI),SD (CI-DI),intraMS (CI-DI),intraSD (CI-DI),ms (CI-WI),SD (CI-WI),intraMS (CI-WI),intraSD (CI-WI),ms (DI-WI),SD (DI-WI),intraMS (DI-WI),intraSD (DI-WI),ms (CI-DI-WI),SD (CI-DI-WI),intraMS (CI-DI-WI),intraSD (CI-DI-WI)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-1.scm,4,0,3,0,4,0,3,0,3,0,8,0,4,0,8,0,3,0,8,0,6,1,10,1,3,0,8,0,11,1,13,1,6,1,9,0,10,0,12,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-2.scm,3,0,3,0,4,0,3,0,0,0,4,0,0,0,4,0,0,0,4,0,1,0,4,0,0,0,4,0,1,0,4,0,1,0,4,0,1,0,4,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-3.scm,4,0,3,0,3,0,3,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-4.scm,4,0,3,0,1,0,1,0,7,0,10,0,7,1,11,1,7,1,10,1,10,3,13,3,7,1,10,1,10,1,13,1,10,1,13,1,10,1,13,1
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-5.scm,4,0,3,0,5,1,5,1,6,1,10,1,6,1,10,1,6,1,10,0,10,1,12,1,6,0,9,0,9,1,12,1,9,1,12,1,10,1,12,1
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-1.scm,4,0,4,0,5,0,5,0,3,0,8,0,3,0,8,0,3,0,8,0,7,0,11,0,3,1,8,1,10,1,14,1,7,0,11,0,10,1,14,1
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-2.scm,5,0,4,0,5,0,4,0,2,0,6,0,2,0,6,0,2,0,6,0,2,0,6,0,2,0,6,0,2,0,6,0,2,0,6,0,2,0,6,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-3.scm,5,0,4,0,1,0,1,0,2,0,7,0,1,0,5,0,3,0,7,0,4,0,8,0,1,0,5,0,1,0,5,0,4,0,8,0,1,0,5,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-4.scm,5,0,4,0,4,0,4,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-5.scm,4,0,4,0,5,0,4,0,3,0,9,0,3,0,9,0,3,0,9,0,5,0,11,0,3,0,9,0,5,0,11,0,5,0,11,0,5,0,10,0
