benchmark,Equal (NoOpt),Less precise (NoOpt),More precise (NoOpt),Equal (CI),Less precise (CI),More precise (CI),Equal (DI),Less precise (DI),More precise (DI),Equal (WI),Less precise (WI),More precise (WI),Equal (CI-DI),Less precise (CI-DI),More precise (CI-DI),Equal (CI-WI),Less precise (CI-WI),More precise (CI-WI),Equal (DI-WI),Less precise (DI-WI),More precise (DI-WI),Equal (CI-DI-WI),Less precise (CI-DI-WI),More precise (CI-DI-WI)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-1.scm,37 (100.00%),0 (0.00%),0 (0.00%),37 (100.00%),0 (0.00%),0 (0.00%),37 (100.00%),0 (0.00%),0 (0.00%),37 (100.00%),0 (0.00%),0 (0.00%),37 (100.00%),0 (0.00%),0 (0.00%),10 (27.03%),0 (0.00%),27 (72.97%),37 (100.00%),0 (0.00%),0 (0.00%),10 (27.03%),0 (0.00%),27 (72.97%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-2.scm,33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-3.scm,31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-4.scm,43 (100.00%),0 (0.00%),0 (0.00%),43 (100.00%),0 (0.00%),0 (0.00%),43 (100.00%),0 (0.00%),0 (0.00%),42 (97.67%),0 (0.00%),1 (2.33%),43 (100.00%),0 (0.00%),0 (0.00%),42 (97.67%),0 (0.00%),1 (2.33%),42 (97.67%),0 (0.00%),1 (2.33%),42 (97.67%),0 (0.00%),1 (2.33%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-5.scm,43 (100.00%),0 (0.00%),0 (0.00%),43 (100.00%),0 (0.00%),0 (0.00%),43 (100.00%),0 (0.00%),0 (0.00%),42 (97.67%),0 (0.00%),1 (2.33%),43 (100.00%),0 (0.00%),0 (0.00%),42 (97.67%),0 (0.00%),1 (2.33%),42 (97.67%),0 (0.00%),1 (2.33%),42 (97.67%),0 (0.00%),1 (2.33%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-1.scm,68 (100.00%),0 (0.00%),0 (0.00%),68 (100.00%),0 (0.00%),0 (0.00%),68 (100.00%),0 (0.00%),0 (0.00%),59 (86.76%),0 (0.00%),9 (13.24%),68 (100.00%),0 (0.00%),0 (0.00%),59 (86.76%),0 (0.00%),9 (13.24%),59 (86.76%),0 (0.00%),9 (13.24%),59 (86.76%),0 (0.00%),9 (13.24%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-2.scm,51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),50 (98.04%),0 (0.00%),1 (1.96%),51 (100.00%),0 (0.00%),0 (0.00%),50 (98.04%),0 (0.00%),1 (1.96%),50 (98.04%),0 (0.00%),1 (1.96%),50 (98.04%),0 (0.00%),1 (1.96%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-3.scm,63 (100.00%),0 (0.00%),0 (0.00%),51 (80.95%),0 (0.00%),12 (19.05%),63 (100.00%),0 (0.00%),0 (0.00%),57 (90.48%),0 (0.00%),6 (9.52%),51 (80.95%),0 (0.00%),12 (19.05%),17 (26.98%),0 (0.00%),46 (73.02%),57 (90.48%),0 (0.00%),6 (9.52%),17 (26.98%),0 (0.00%),46 (73.02%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-4.scm,51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-5.scm,59 (100.00%),0 (0.00%),0 (0.00%),59 (100.00%),0 (0.00%),0 (0.00%),59 (100.00%),0 (0.00%),0 (0.00%),55 (93.22%),0 (0.00%),4 (6.78%),59 (100.00%),0 (0.00%),0 (0.00%),55 (93.22%),0 (0.00%),4 (6.78%),55 (93.22%),0 (0.00%),4 (6.78%),55 (93.22%),0 (0.00%),4 (6.78%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-1.scm,118 (100.00%),0 (0.00%),0 (0.00%),118 (100.00%),0 (0.00%),0 (0.00%),118 (100.00%),0 (0.00%),0 (0.00%),90 (76.27%),0 (0.00%),28 (23.73%),118 (100.00%),0 (0.00%),0 (0.00%),87 (73.73%),0 (0.00%),31 (26.27%),90 (76.27%),0 (0.00%),28 (23.73%),87 (73.73%),0 (0.00%),31 (26.27%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-2.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-3.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-4.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-5.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-256-1.scm,1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),256 (19.92%),0 (0.00%),1029 (80.08%),1285 (100.00%),0 (0.00%),0 (0.00%),1 (0.08%),0 (0.00%),1284 (99.92%),256 (19.92%),0 (0.00%),1029 (80.08%),1 (0.08%),0 (0.00%),1284 (99.92%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-256-2.scm,1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),256 (19.92%),0 (0.00%),1029 (80.08%),1285 (100.00%),0 (0.00%),0 (0.00%),3 (0.23%),0 (0.00%),1282 (99.77%),256 (19.92%),0 (0.00%),1029 (80.08%),3 (0.23%),0 (0.00%),1282 (99.77%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-256-3.scm,1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-256-4.scm,2533 (100.00%),0 (0.00%),0 (0.00%),2533 (100.00%),0 (0.00%),0 (0.00%),2533 (100.00%),0 (0.00%),0 (0.00%),505 (19.94%),0 (0.00%),2028 (80.06%),2533 (100.00%),0 (0.00%),0 (0.00%),5 (0.20%),0 (0.00%),2528 (99.80%),505 (19.94%),0 (0.00%),2028 (80.06%),5 (0.20%),0 (0.00%),2528 (99.80%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-256-5.scm,1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),1285 (100.00%),0 (0.00%),0 (0.00%),256 (19.92%),0 (0.00%),1029 (80.08%),1285 (100.00%),0 (0.00%),0 (0.00%),1 (0.08%),0 (0.00%),1284 (99.92%),256 (19.92%),0 (0.00%),1029 (80.08%),1 (0.08%),0 (0.00%),1284 (99.92%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-32-1.scm,165 (100.00%),0 (0.00%),0 (0.00%),165 (100.00%),0 (0.00%),0 (0.00%),165 (100.00%),0 (0.00%),0 (0.00%),32 (19.39%),0 (0.00%),133 (80.61%),165 (100.00%),0 (0.00%),0 (0.00%),2 (1.21%),0 (0.00%),163 (98.79%),32 (19.39%),0 (0.00%),133 (80.61%),2 (1.21%),0 (0.00%),163 (98.79%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-32-2.scm,214 (100.00%),0 (0.00%),0 (0.00%),214 (100.00%),0 (0.00%),0 (0.00%),214 (100.00%),0 (0.00%),0 (0.00%),81 (37.85%),0 (0.00%),133 (62.15%),214 (100.00%),0 (0.00%),0 (0.00%),53 (24.77%),0 (0.00%),161 (75.23%),81 (37.85%),0 (0.00%),133 (62.15%),53 (24.77%),0 (0.00%),161 (75.23%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-32-3.scm,167 (100.00%),0 (0.00%),0 (0.00%),167 (100.00%),0 (0.00%),0 (0.00%),167 (100.00%),0 (0.00%),0 (0.00%),34 (20.36%),0 (0.00%),133 (79.64%),167 (100.00%),0 (0.00%),0 (0.00%),6 (3.59%),0 (0.00%),161 (96.41%),34 (20.36%),0 (0.00%),133 (79.64%),6 (3.59%),0 (0.00%),161 (96.41%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-32-4.scm,165 (100.00%),0 (0.00%),0 (0.00%),165 (100.00%),0 (0.00%),0 (0.00%),165 (100.00%),0 (0.00%),0 (0.00%),32 (19.39%),0 (0.00%),133 (80.61%),165 (100.00%),0 (0.00%),0 (0.00%),2 (1.21%),0 (0.00%),163 (98.79%),32 (19.39%),0 (0.00%),133 (80.61%),2 (1.21%),0 (0.00%),163 (98.79%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-32-5.scm,165 (100.00%),0 (0.00%),0 (0.00%),165 (100.00%),0 (0.00%),0 (0.00%),165 (100.00%),0 (0.00%),0 (0.00%),32 (19.39%),0 (0.00%),133 (80.61%),165 (100.00%),0 (0.00%),0 (0.00%),4 (2.42%),0 (0.00%),161 (97.58%),32 (19.39%),0 (0.00%),133 (80.61%),4 (2.42%),0 (0.00%),161 (97.58%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-64-1.scm,325 (100.00%),0 (0.00%),0 (0.00%),325 (100.00%),0 (0.00%),0 (0.00%),325 (100.00%),0 (0.00%),0 (0.00%),64 (19.69%),0 (0.00%),261 (80.31%),325 (100.00%),0 (0.00%),0 (0.00%),7 (2.15%),0 (0.00%),318 (97.85%),64 (19.69%),0 (0.00%),261 (80.31%),7 (2.15%),0 (0.00%),318 (97.85%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-64-2.scm,325 (100.00%),0 (0.00%),0 (0.00%),325 (100.00%),0 (0.00%),0 (0.00%),325 (100.00%),0 (0.00%),0 (0.00%),63 (19.38%),0 (0.00%),262 (80.62%),325 (100.00%),0 (0.00%),0 (0.00%),1 (0.31%),0 (0.00%),324 (99.69%),63 (19.38%),0 (0.00%),262 (80.62%),1 (0.31%),0 (0.00%),324 (99.69%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-64-3.scm,404 (100.00%),0 (0.00%),0 (0.00%),404 (100.00%),0 (0.00%),0 (0.00%),404 (100.00%),0 (0.00%),0 (0.00%),143 (35.40%),0 (0.00%),261 (64.60%),404 (100.00%),0 (0.00%),0 (0.00%),90 (22.28%),0 (0.00%),314 (77.72%),143 (35.40%),0 (0.00%),261 (64.60%),90 (22.28%),0 (0.00%),314 (77.72%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-64-4.scm,642 (100.00%),0 (0.00%),0 (0.00%),642 (100.00%),0 (0.00%),0 (0.00%),642 (100.00%),0 (0.00%),0 (0.00%),389 (60.59%),0 (0.00%),253 (39.41%),642 (100.00%),0 (0.00%),0 (0.00%),327 (50.93%),0 (0.00%),315 (49.07%),389 (60.59%),0 (0.00%),253 (39.41%),327 (50.93%),0 (0.00%),315 (49.07%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-64-5.scm,325 (100.00%),0 (0.00%),0 (0.00%),325 (100.00%),0 (0.00%),0 (0.00%),325 (100.00%),0 (0.00%),0 (0.00%),64 (19.69%),0 (0.00%),261 (80.31%),325 (100.00%),0 (0.00%),0 (0.00%),7 (2.15%),0 (0.00%),318 (97.85%),64 (19.69%),0 (0.00%),261 (80.31%),7 (2.15%),0 (0.00%),318 (97.85%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa3-1.scm,23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa3-2.scm,23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa3-3.scm,23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%),23 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa3-4.scm,31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),25 (80.65%),0 (0.00%),6 (19.35%),31 (100.00%),0 (0.00%),0 (0.00%),25 (80.65%),0 (0.00%),6 (19.35%),25 (80.65%),0 (0.00%),6 (19.35%),25 (80.65%),0 (0.00%),6 (19.35%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa3-5.scm,25 (100.00%),0 (0.00%),0 (0.00%),25 (100.00%),0 (0.00%),0 (0.00%),25 (100.00%),0 (0.00%),0 (0.00%),25 (100.00%),0 (0.00%),0 (0.00%),25 (100.00%),0 (0.00%),0 (0.00%),25 (100.00%),0 (0.00%),0 (0.00%),25 (100.00%),0 (0.00%),0 (0.00%),25 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_meta-circ-1.scm,713 (100.00%),0 (0.00%),0 (0.00%),713 (100.00%),0 (0.00%),0 (0.00%),713 (100.00%),0 (0.00%),0 (0.00%),614 (86.12%),0 (0.00%),99 (13.88%),713 (100.00%),0 (0.00%),0 (0.00%),614 (86.12%),0 (0.00%),99 (13.88%),614 (86.12%),0 (0.00%),99 (13.88%),614 (86.12%),0 (0.00%),99 (13.88%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_meta-circ-2.scm,711 (100.00%),0 (0.00%),0 (0.00%),711 (100.00%),0 (0.00%),0 (0.00%),711 (100.00%),0 (0.00%),0 (0.00%),616 (86.64%),0 (0.00%),95 (13.36%),711 (100.00%),0 (0.00%),0 (0.00%),609 (85.65%),0 (0.00%),102 (14.35%),616 (86.64%),0 (0.00%),95 (13.36%),609 (85.65%),0 (0.00%),102 (14.35%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_meta-circ-3.scm,716 (100.00%),0 (0.00%),0 (0.00%),716 (100.00%),0 (0.00%),0 (0.00%),716 (100.00%),0 (0.00%),0 (0.00%),622 (86.87%),0 (0.00%),94 (13.13%),716 (100.00%),0 (0.00%),0 (0.00%),622 (86.87%),0 (0.00%),94 (13.13%),622 (86.87%),0 (0.00%),94 (13.13%),622 (86.87%),0 (0.00%),94 (13.13%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_meta-circ-4.scm,706 (100.00%),0 (0.00%),0 (0.00%),432 (61.19%),0 (0.00%),274 (38.81%),706 (100.00%),0 (0.00%),0 (0.00%),591 (83.71%),0 (0.00%),115 (16.29%),432 (61.19%),0 (0.00%),274 (38.81%),237 (33.57%),0 (0.00%),469 (66.43%),591 (83.71%),0 (0.00%),115 (16.29%),237 (33.57%),0 (0.00%),469 (66.43%)
