benchmark,Equal (NoOpt),Less precise (NoOpt),More precise (NoOpt),Equal (CI),Less precise (CI),More precise (CI),Equal (DI),Less precise (DI),More precise (DI),Equal (WI),Less precise (WI),More precise (WI),Equal (CI-DI),Less precise (CI-DI),More precise (CI-DI),Equal (CI-WI),Less precise (CI-WI),More precise (CI-WI),Equal (DI-WI),Less precise (DI-WI),More precise (DI-WI),Equal (CI-DI-WI),Less precise (CI-DI-WI),More precise (CI-DI-WI)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-1.scm,10 (27.03%),27 (72.97%),0 (0.00%),10 (27.03%),27 (72.97%),0 (0.00%),10 (27.03%),27 (72.97%),0 (0.00%),10 (27.03%),27 (72.97%),0 (0.00%),10 (27.03%),27 (72.97%),0 (0.00%),35 (100.00%),0 (0.00%),0 (0.00%),10 (27.03%),27 (72.97%),0 (0.00%),35 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-2.scm,33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%),33 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-3.scm,31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%),31 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-4.scm,7 (16.28%),36 (83.72%),0 (0.00%),7 (16.28%),36 (83.72%),0 (0.00%),7 (16.28%),36 (83.72%),0 (0.00%),7 (16.28%),36 (83.72%),0 (0.00%),7 (16.28%),36 (83.72%),0 (0.00%),7 (16.28%),36 (83.72%),0 (0.00%),7 (16.28%),36 (83.72%),0 (0.00%),7 (16.28%),36 (83.72%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_church_simple-5.scm,11 (25.58%),32 (74.42%),0 (0.00%),11 (25.58%),32 (74.42%),0 (0.00%),11 (25.58%),32 (74.42%),0 (0.00%),12 (27.91%),31 (72.09%),0 (0.00%),11 (25.58%),32 (74.42%),0 (0.00%),12 (27.91%),31 (72.09%),0 (0.00%),12 (27.91%),31 (72.09%),0 (0.00%),12 (27.91%),31 (72.09%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-1.scm,59 (86.76%),9 (13.24%),0 (0.00%),59 (86.76%),9 (13.24%),0 (0.00%),59 (86.76%),9 (13.24%),0 (0.00%),59 (100.00%),0 (0.00%),0 (0.00%),59 (86.76%),9 (13.24%),0 (0.00%),59 (100.00%),0 (0.00%),0 (0.00%),59 (100.00%),0 (0.00%),0 (0.00%),59 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-2.scm,50 (98.04%),1 (1.96%),0 (0.00%),50 (98.04%),1 (1.96%),0 (0.00%),50 (98.04%),1 (1.96%),0 (0.00%),50 (100.00%),0 (0.00%),0 (0.00%),50 (98.04%),1 (1.96%),0 (0.00%),50 (100.00%),0 (0.00%),0 (0.00%),50 (100.00%),0 (0.00%),0 (0.00%),50 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-3.scm,17 (26.98%),46 (73.02%),0 (0.00%),17 (33.33%),34 (66.67%),0 (0.00%),17 (26.98%),46 (73.02%),0 (0.00%),17 (29.82%),40 (70.18%),0 (0.00%),17 (33.33%),34 (66.67%),0 (0.00%),17 (100.00%),0 (0.00%),0 (0.00%),17 (29.82%),40 (70.18%),0 (0.00%),17 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-4.scm,51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%),51 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_fermat-5.scm,55 (93.22%),4 (6.78%),0 (0.00%),55 (93.22%),4 (6.78%),0 (0.00%),55 (93.22%),4 (6.78%),0 (0.00%),55 (100.00%),0 (0.00%),0 (0.00%),55 (93.22%),4 (6.78%),0 (0.00%),55 (100.00%),0 (0.00%),0 (0.00%),55 (100.00%),0 (0.00%),0 (0.00%),55 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-1.scm,87 (73.73%),31 (26.27%),0 (0.00%),87 (73.73%),31 (26.27%),0 (0.00%),87 (73.73%),31 (26.27%),0 (0.00%),87 (94.57%),5 (5.43%),0 (0.00%),87 (73.73%),31 (26.27%),0 (0.00%),87 (100.00%),0 (0.00%),0 (0.00%),87 (94.57%),5 (5.43%),0 (0.00%),87 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-2.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-3.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-4.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-16-5.scm,85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%),85 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-256-1.scm,1 (0.08%),1284 (99.92%),0 (0.00%),1 (0.08%),1284 (99.92%),0 (0.00%),1 (0.08%),1284 (99.92%),0 (0.00%),2 (0.39%),509 (99.61%),0 (0.00%),1 (0.08%),1284 (99.92%),0 (0.00%),2 (100.00%),0 (0.00%),0 (0.00%),2 (0.39%),509 (99.61%),0 (0.00%),2 (100.00%),0 (0.00%),0 (0.00%)
test/changes/scheme/generated/R5RS_WeiChenRompf2019_kcfa-worst-case-256-2.scm,3 (0.23%),1282 (99.77%),0 (0.00%),3 (0.23%),1282 (99.77%),0 (0.00%),3 (0.23%),1282 (99.77%),0 (0.00%),6 (1.17%),505 (98.83%),0 (0.00%),3 (0.23%),1282 (99.77%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%),6 (1.17%),505 (98.83%),0 (0.00%),6 (100.00%),0 (0.00%),0 (0.00%)
